ID,A,B,NEITHER,Usage
000075809a8e6b062f5fb3c191a8ed52,0,0,1,Ignored
0005d0f3b0a6c9ffbd31a48453029911,0,0,1,Ignored
0007775c40bedd4147a0573d66dc28f8,0,1,0,Private
001194e3fe1234d00198ef6bba4cc588,0,0,1,Ignored
0014bb7085278ef3f9b74f14771caca9,0,0,1,Ignored
002671a4f3ec8d724e0541c2f1a1f8cc,0,0,1,Ignored
002eb2ad27bbeab286b15650b8cb2c27,0,0,1,Ignored
002eebd91abbd53207da15ae61714531,0,0,1,Ignored
0034d8a107da2eeba335128665f6fc1f,0,0,1,Ignored
0034dfd350220409b621a5e3ac1c5e02,0,1,0,Private
0038594ac3031cfe28506b2356a164f0,0,0,1,Ignored
003c6dedd37fd9e61fe7d4caeeb6cce2,0,0,1,Ignored
003d42668ef51e38ef23747e0e63ae2a,0,1,0,Private
004d34d0538140b06c9fb8a5a79be949,0,0,1,Ignored
004e46b35db66402fa8046fd7bd800fb,0,0,1,Ignored
0053b6a829b09c988164aaec0ee2fb4b,0,0,1,Ignored
0056e846c6c6a948326fac4caebac70d,0,0,1,Ignored
00587d0e442b7b4521f685d12f8b78d3,0,0,1,Ignored
006506c9485f14a3d850b2c7dc06d28c,0,0,1,Ignored
00666e20548dc00c0506444b39522d1c,0,0,1,Ignored
006f0cfcf0d7cfc5727c452f19c80a08,0,0,1,Ignored
0072444e521970d2b1ec120304b0b347,0,0,1,Ignored
0075b36796f8030061b8dbb3c7f5c76f,0,0,1,Ignored
0080eb821c67e2d49a92cd164f847ea6,0,0,1,Ignored
0081c6d575a1d0c2d3d897207c3ed08a,0,0,1,Ignored
008d7dee7a18431c94d3a77655031cd3,0,0,1,Ignored
008e4bfc75914a5f811bddccfd052645,0,0,1,Ignored
00a1a34a0a94be974fd77e3f85b0f137,0,0,1,Ignored
00a1c20b7c0d77f465de581a8786c6f0,0,0,1,Ignored
00a9696a5a1da52019d2a64a7ae242ff,0,0,1,Ignored
00b1145d33b7e2af7acae0fd6787bfd1,0,0,1,Ignored
00c2784250a56108f8574a0af7bb46c7,0,0,1,Ignored
00c7470d07ff4aa694c02853503884fe,0,0,1,Ignored
00ca9dcfd879349ee387efd12248e0e8,0,0,1,Ignored
00cd2219b211310a7157c67da8b442d2,0,0,1,Ignored
00cf003e1253201b7b734ca180532d66,0,0,1,Private
00d890a1a531d5e57f3a21675c23ab14,0,0,1,Ignored
00daf1455d7b93bf73b0e076219de11b,0,0,1,Ignored
00eab3396d7d7044802133ddd06c791f,0,0,1,Ignored
00ee2789adf7110e14ce5a9c8602b101,0,0,1,Ignored
00f391673e6e4a2c63580b45aa356b23,0,0,1,Ignored
00f6225be530e4ed4045d17c36f8bdb8,0,0,1,Ignored
00fa23058999d24425f7f9f5043e71ce,0,0,1,Ignored
00fc68126605945b995a01baaacdf79b,0,0,1,Ignored
01041440fdb956d5c47fbc98f2e5effe,0,0,1,Ignored
0104c25ff27c32618d49ff8919c40e61,0,0,1,Ignored
010a8c7c15500c41a22d178e56a4a348,1,0,0,Private
011c690b5dde01e12968dc26fb3c85a8,0,0,1,Ignored
0120704617a0cf664fccf12fdd5d5e98,0,0,1,Ignored
01224a674741889801a5efab87383ca5,0,0,1,Ignored
0129be7734ca644d451b7823cfe70953,0,0,1,Ignored
012f04ff1344ec0b50bc82645c7bd0d8,0,0,1,Ignored
012f9927828948bc31b6e0520238b378,0,0,1,Ignored
013104d12f54b523efe22591ef3bb41a,0,0,1,Ignored
0138adf3dba40d695cf488257b1e178c,0,0,1,Ignored
013ba8d3957399e307604c08f962deb2,0,0,1,Ignored
0142f1f226f1b8eaaaff124a458b5d74,0,0,1,Ignored
014564688ab76824b13f8845fc6d01de,1,0,0,Private
0147306dd02526743a551da60f35ea0a,0,0,1,Ignored
014e0aa3bff27b4c16be706ee03cab77,0,0,1,Ignored
0154f4fa9d572a1c024d21c421880fa8,0,0,1,Ignored
015d6c11403e27ef460562a7d3f85029,0,0,1,Ignored
015f7a0312ace03affae81fad8ad0e37,0,0,1,Ignored
01615390c143739fe068a69da301fc3e,0,0,1,Ignored
016356800b82853b95bf014969fa8974,0,0,1,Ignored
016b05f14936f8530fdbbd54ed33b290,0,0,1,Ignored
016cc55dc24cfcb4ea33948d05c709e9,0,0,1,Ignored
016e87cf030f9bc1b7a17e608ef57a3b,0,0,1,Ignored
0177c57d98f195530d279fcd0dacd083,0,0,1,Ignored
0186f453326bcf6918321e0048ddca58,0,0,1,Ignored
01876c2684589dd597262753d8560133,0,0,1,Ignored
0187cff38229694acc04cae00ad4e743,0,0,1,Ignored
01899c5e511c11e69ea38baaeeb9816b,0,0,1,Ignored
018a24b671f920e913be12d6978ddc5a,0,0,1,Ignored
018c7084ec5913bd9ba159a4059a15ff,0,0,1,Ignored
019073472a3a32ed75bc3ac6ad585976,0,0,1,Ignored
0190e408dc27671d69476d26072bcb24,1,0,0,Private
019c966063da74d277ad92c829b14359,0,0,1,Ignored
019f5ce7b685a0256f9fec0dc868f5ed,0,0,1,Ignored
01a6a0131cbaebdc108d6c5b00d22164,0,0,1,Ignored
01aa41636d8f47f840426a30e527dd20,0,0,1,Ignored
01ae527fa0953ac6f02ac5723fd0cdc5,0,0,1,Ignored
01ae89a005d660b8aec6ece24e34c30e,0,0,1,Ignored
01b0e980fca420527cdfe6ecd36249df,0,0,1,Ignored
01b2e4d53913b3597fed3834d2eca340,0,0,1,Ignored
01b73ac72935925c2dac73a1e6f8cf3c,0,0,1,Ignored
01be79ca834add376e8cfbccfdd729ec,0,0,1,Ignored
01c2ea6fcd484ad832f8ed0b6c888781,0,0,1,Ignored
01c414fedd2a05f961a5e6ef759068ba,0,0,1,Ignored
01cb942c3be122add072d88ce72dbc7e,0,0,1,Ignored
01ce85ce3a00057b450ddf9fc9878a50,0,0,1,Ignored
01cfbe31148d8203d5b0b02795547e56,0,0,1,Ignored
01d9edd61f20b60f81229fd47b4ec754,0,0,1,Ignored
01db372394ceda12be249006beaf2e6d,0,0,1,Ignored
01e13843a3998013404a0c7bf04a459a,0,0,1,Ignored
01e837f2b238f67b74f987c0448f2777,0,0,1,Ignored
01e8447db69140171e0e9d58bca47eac,0,0,1,Ignored
01eca9b5ea129b95578461e98f8681be,0,0,1,Ignored
01edb41d674a5882046a79688ae29f11,0,0,1,Ignored
01f149807bfa30fe9f53ee198497ad26,0,0,1,Ignored
01f650bbebd92c65b92f96c56950a70e,0,0,1,Ignored
01f655ab21542cf5cb4b164cc2bbd0c7,0,0,1,Ignored
01f68d9c28a931f3c3816cc61d237039,0,1,0,Private
01f93f9a9a5883782699a65447577695,0,0,1,Ignored
0200210b02e06fa4b6a279329ecb44b8,0,0,1,Ignored
020218d6b9bff90ffb193e8e50cd9609,0,0,1,Ignored
02068b1f66f9c1cf398f7e57cd33e561,0,0,1,Ignored
0208bc36f8867f6c233fc7057124f0cd,0,0,1,Ignored
020df0f5de9207aa55c256f84fa4cb5f,0,0,1,Ignored
0212cec997cdadfebdf9788f458bf9d5,0,0,1,Ignored
0221f52ab100fad3dad5c1d218c2d9d2,0,0,1,Ignored
023ab221e8aa7d3d70de41b3f4386939,0,0,1,Ignored
023d958e895e366d6cca7a7827654a67,0,0,1,Ignored
024013fe5295584f195a9520ae924d20,0,0,1,Ignored
024e35ed9106fa0d713cbcd95c3af389,0,0,1,Ignored
0252c34f42aa53a0b1368c4b70dbfb3d,0,0,1,Ignored
